"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","226951","Testcase_01_Rules_And_Tag_Rules","","Wed Oct 16 12:24:29 UTC 2024","passed","Wed Oct 16 12:28:16 UTC 2024","HelloDock","04_rules_Tags_PO_Rules_Test.spec.ts","",""
"","141241","Testcase_001Multiple_Document_Multi-PO upload","","Wed Oct 16 12:20:26 UTC 2024","passed","Wed Oct 16 12:22:47 UTC 2024","HelloDock","02_multiple_Document_Multi_PO.spec.ts","",""
"","100173","Testcase_01Focus_Mode_Upload_exception","","Wed Oct 16 12:40:33 UTC 2024","passed","Wed Oct 16 12:42:13 UTC 2024","HelloDock","10_focus_Mode_exception_Test.spec.ts","",""
"","230645","Testcase_01Single_Document_Multi_PO_upload","","Wed Oct 16 12:16:35 UTC 2024","passed","Wed Oct 16 12:20:26 UTC 2024","HelloDock","01_single_Document_Multi_PO.spec.ts","",""
"","104960","Testcase_02GlobalSearch_Field_Extraction","","Wed Oct 16 12:38:48 UTC 2024","passed","Wed Oct 16 12:40:33 UTC 2024","HelloDock","09_global_Field_Extraction_Test.spec.ts","",""
"","108813","Testcase_01Global_Search_Keyword","","Wed Oct 16 12:36:59 UTC 2024","passed","Wed Oct 16 12:38:48 UTC 2024","HelloDock","08_global_Search_Keywords_Test.spec.ts","",""
"","79459","Testcase_02_Deletes_Upload_exception","","Wed Oct 16 12:42:13 UTC 2024","passed","Wed Oct 16 12:43:33 UTC 2024","HelloDock","11_delete_Focus_Mode_Test.spec.ts","",""
"","102370","Testcase_001Exceptions_Fix_Global_Search","","Wed Oct 16 12:22:47 UTC 2024","passed","Wed Oct 16 12:24:29 UTC 2024","HelloDock","03_exceptions_Test.spec.ts","",""
"","278805","Testcase_01_PO_Folder_and_Tags","","Wed Oct 16 12:28:16 UTC 2024","failed","Wed Oct 16 12:32:55 UTC 2024","HelloDock","05_Folder_Tag_rules_Test.spec.ts","",""
"","132710","Testcase_01_Genrate_Report_CSV","","Wed Oct 16 12:32:56 UTC 2024","passed","Wed Oct 16 12:35:09 UTC 2024","HelloDock","06_generate_Report_CSV_Test.spec.ts","",""
"","110398","Testcase_02Genrate_Report_Comma_Delimited_Box","","Wed Oct 16 12:35:09 UTC 2024","passed","Wed Oct 16 12:36:59 UTC 2024","HelloDock","07_generate_Delimited_Box.spec.ts","",""
"","146260","Testcase_01View_All_Folders_Keyword","","Wed Oct 16 12:43:33 UTC 2024","passed","Wed Oct 16 12:45:59 UTC 2024","HelloDock","12_view_All_Folders_Test.spec.ts","",""
