"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","143876","Testcase_001Multiple_Document_Multi-PO upload","","Tue Oct 15 17:41:39 UTC 2024","passed","Tue Oct 15 17:44:03 UTC 2024","HelloDock","02_multiple_Document_Multi_PO.spec.ts","",""
"","120425","Testcase_02Genrate_Report_Comma_Delimited_Box","","Tue Oct 15 17:56:40 UTC 2024","passed","Tue Oct 15 17:58:40 UTC 2024","HelloDock","07_generate_Delimited_Box.spec.ts","",""
"","228470","Testcase_01_Rules_And_Tag_Rules","","Tue Oct 15 17:45:46 UTC 2024","passed","Tue Oct 15 17:49:34 UTC 2024","HelloDock","04_rules_Tags_PO_Rules_Test.spec.ts","",""
"","106279","Testcase_01Focus_Mode_Upload_exception","","Tue Oct 15 18:02:53 UTC 2024","passed","Tue Oct 15 18:04:39 UTC 2024","HelloDock","10_focus_Mode_exception_Test.spec.ts","",""
"","226300","Testcase_01Single_Document_Multi_PO_upload","","Tue Oct 15 17:37:53 UTC 2024","passed","Tue Oct 15 17:41:39 UTC 2024","HelloDock","01_single_Document_Multi_PO.spec.ts","",""
"","144757","Testcase_01_Genrate_Report_CSV","","Tue Oct 15 17:54:15 UTC 2024","passed","Tue Oct 15 17:56:40 UTC 2024","HelloDock","06_generate_Report_CSV_Test.spec.ts","",""
"","102673","Testcase_001Exceptions_Fix_Global_Search","","Tue Oct 15 17:44:03 UTC 2024","passed","Tue Oct 15 17:45:46 UTC 2024","HelloDock","03_exceptions_Test.spec.ts","",""
"","144384","Testcase_01View_All_Folders_Keyword","","Tue Oct 15 18:06:03 UTC 2024","passed","Tue Oct 15 18:08:27 UTC 2024","HelloDock","12_view_All_Folders_Test.spec.ts","",""
"","144083","Testcase_01Global_Search_Keyword","","Tue Oct 15 17:58:40 UTC 2024","failed","Tue Oct 15 18:01:04 UTC 2024","HelloDock","08_global_Search_Keywords_Test.spec.ts","",""
"","279654","Testcase_01_PO_Folder_and_Tags","","Tue Oct 15 17:49:34 UTC 2024","failed","Tue Oct 15 17:54:14 UTC 2024","HelloDock","05_Folder_Tag_rules_Test.spec.ts","",""
"","83764","Testcase_02_Deletes_Upload_exception","","Tue Oct 15 18:04:39 UTC 2024","passed","Tue Oct 15 18:06:03 UTC 2024","HelloDock","11_delete_Focus_Mode_Test.spec.ts","",""
"","107188","Testcase_02GlobalSearch_Field_Extraction","","Tue Oct 15 18:01:05 UTC 2024","failed","Tue Oct 15 18:02:52 UTC 2024","HelloDock","09_global_Field_Extraction_Test.spec.ts","",""
