"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","114605","Testcase_02Genrate_Report_Comma_Delimited_Box","","Tue Oct 15 06:47:37 UTC 2024","passed","Tue Oct 15 06:49:32 UTC 2024","HelloDock","07_generate_Delimited_Box.spec.ts","",""
"","252590","Testcase_01_Rules_And_Tag_Rules","","Tue Oct 15 06:36:26 UTC 2024","passed","Tue Oct 15 06:40:38 UTC 2024","HelloDock","04_rules_Tags_PO_Rules_Test.spec.ts","",""
"","100525","Testcase_01Focus_Mode_Upload_exception","","Tue Oct 15 06:53:11 UTC 2024","passed","Tue Oct 15 06:54:52 UTC 2024","HelloDock","10_focus_Mode_exception_Test.spec.ts","",""
"","280419","Testcase_01_PO_Folder_and_Tags","","Tue Oct 15 06:40:38 UTC 2024","failed","Tue Oct 15 06:45:19 UTC 2024","HelloDock","05_Folder_Tag_rules_Test.spec.ts","",""
"","108113","Testcase_001Exceptions_Fix_Global_Search","","Tue Oct 15 06:34:38 UTC 2024","passed","Tue Oct 15 06:36:26 UTC 2024","HelloDock","03_exceptions_Test.spec.ts","",""
"","144754","Testcase_001Multiple_Document_Multi-PO upload","","Tue Oct 15 06:32:12 UTC 2024","failed","Tue Oct 15 06:34:37 UTC 2024","HelloDock","02_multiple_Document_Multi_PO.spec.ts","",""
"","145279","Testcase_01View_All_Folders_Keyword","","Tue Oct 15 06:56:11 UTC 2024","passed","Tue Oct 15 06:58:36 UTC 2024","HelloDock","12_view_All_Folders_Test.spec.ts","",""
"","78874","Testcase_02_Deletes_Upload_exception","","Tue Oct 15 06:54:52 UTC 2024","passed","Tue Oct 15 06:56:11 UTC 2024","HelloDock","11_delete_Focus_Mode_Test.spec.ts","",""
"","109243","Testcase_01Global_Search_Keyword","","Tue Oct 15 06:49:32 UTC 2024","passed","Tue Oct 15 06:51:21 UTC 2024","HelloDock","08_global_Search_Keywords_Test.spec.ts","",""
"","110230","Testcase_02GlobalSearch_Field_Extraction","","Tue Oct 15 06:51:21 UTC 2024","passed","Tue Oct 15 06:53:11 UTC 2024","HelloDock","09_global_Field_Extraction_Test.spec.ts","",""
"","239359","Testcase_01Single_Document_Multi_PO_upload","","Tue Oct 15 06:28:12 UTC 2024","failed","Tue Oct 15 06:32:11 UTC 2024","HelloDock","01_single_Document_Multi_PO.spec.ts","",""
"","137275","Testcase_01_Genrate_Report_CSV","","Tue Oct 15 06:45:20 UTC 2024","passed","Tue Oct 15 06:47:37 UTC 2024","HelloDock","06_generate_Report_CSV_Test.spec.ts","",""
