"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","122835","Testcase_02Genrate_Report_Comma_Delimited_Box","","Tue Oct 15 13:38:13 UTC 2024","passed","Tue Oct 15 13:40:16 UTC 2024","HelloDock","07_generate_Delimited_Box.spec.ts","",""
"","93258","Testcase_02GlobalSearch_Field_Extraction","","Tue Oct 15 13:42:27 UTC 2024","passed","Tue Oct 15 13:44:00 UTC 2024","HelloDock","09_global_Field_Extraction_Test.spec.ts","",""
"","140639","Testcase_001Multiple_Document_Multi-PO upload","","Tue Oct 15 13:14:32 UTC 2024","passed","Tue Oct 15 13:16:52 UTC 2024","HelloDock","02_multiple_Document_Multi_PO.spec.ts","",""
"","231386","Testcase_01_Rules_And_Tag_Rules","","Tue Oct 15 13:18:55 UTC 2024","passed","Tue Oct 15 13:22:47 UTC 2024","HelloDock","04_rules_Tags_PO_Rules_Test.spec.ts","",""
"","215789","Testcase_01_PO_Folder_and_Tags","","Tue Oct 15 13:22:47 UTC 2024","failed","Tue Oct 15 13:26:23 UTC 2024","HelloDock","05_Folder_Tag_rules_Test.spec.ts","",""
"","208282","Testcase_01Single_Document_Multi_PO_upload","","Tue Oct 15 13:11:03 UTC 2024","passed","Tue Oct 15 13:14:32 UTC 2024","HelloDock","01_single_Document_Multi_PO.spec.ts","",""
"","102522","Testcase_01Focus_Mode_Upload_exception","","Tue Oct 15 13:44:00 UTC 2024","passed","Tue Oct 15 13:45:43 UTC 2024","HelloDock","10_focus_Mode_exception_Test.spec.ts","",""
"","130778","Testcase_01Global_Search_Keyword","","Tue Oct 15 13:40:16 UTC 2024","passed","Tue Oct 15 13:42:27 UTC 2024","HelloDock","08_global_Search_Keywords_Test.spec.ts","",""
"","144957","Testcase_01View_All_Folders_Keyword","","Tue Oct 15 13:47:05 UTC 2024","passed","Tue Oct 15 13:49:29 UTC 2024","HelloDock","12_view_All_Folders_Test.spec.ts","",""
"","123269","Testcase_001Exceptions_Fix_Global_Search","","Tue Oct 15 13:16:52 UTC 2024","passed","Tue Oct 15 13:18:55 UTC 2024","HelloDock","03_exceptions_Test.spec.ts","",""
"","708991","Testcase_01_Genrate_Report_CSV","","Tue Oct 15 13:26:24 UTC 2024","broken","Tue Oct 15 13:38:13 UTC 2024","HelloDock","06_generate_Report_CSV_Test.spec.ts","",""
"","81756","Testcase_02_Deletes_Upload_exception","","Tue Oct 15 13:45:43 UTC 2024","passed","Tue Oct 15 13:47:05 UTC 2024","HelloDock","11_delete_Focus_Mode_Test.spec.ts","",""
